id;label;function;year;place_print
339;Arent van Dalen & Katarina de Remaux;Bruidspaar;1735;
340;Johan Heinius & Elisabeth van Marienhoff;Bruidspaar;1738;
341;Pieter Heinius;Auteur;;
342;Benjamin Winter & Katharina Melkpot;Bruidspaar;1740;
343;Gerard Winter;Auteur;;
344;C. van Davervelt;Auteur;;
345;Pieter van Lelyveld & Maria de Wit;Bruidspaar;1748;
346;Paulus van Lelyveld;Auteur;;
347;Pieter van (Jr) Lelyveld;Auteur;;
348;Wilhelmus van den Broek;Auteur;;
349;Paulus Wz van Lelyveld;Auteur;;
350;Frans van Lelyveld;Auteur;;
351;Jan Bernard van Steinen & Catharina van Onnen;Bruidspaar;1755;
352;J.D. van Steinen;Auteur;;
353;David Eckhardt & Maria van Broekhuysen;Bruidspaar;1757;
354;David Eckhardt (Jr);Auteur;;
355;Augustinus Eckhardt;Auteur;;
356;W.H. Dregman;Auteur;;
357;Arent Kampen & Belitje Lourens;Bruidspaar;1706;
358;Jacobus Dop;Auteur;;
359;Paulus Poursoy & Maria Felbier;Bruidspaar;1723;
360;Dierick Hoste & Joanna des Maistres;Bruidspaar;1613;
361;Isacq van den Bergh & Cornelia Ouzeel;Bruidspaar;1676;
362;Gysbartus Fredericus Buys & Maria Hamerslag;Bruidspaar;1687;
363;I. N.S. Buys;Auteur;;
364;Aarnoud Stokkelaar & Belida Kleinschol;Bruidspaar;1706;
365;Jacob Slagregen & Agata van Gent;Bruidspaar;1707;
366;Benedictus van Ryneveld & Johanna Veen;Bruidspaar;1709;
367;Enoch Linklaan Krook;Auteur;;
368;Marinus van Hoeke & Margareta Raillard;Bruidspaar;1710;
369;Everhard Kraeyvanger;Auteur;;
370;Arnoldus Fabritius & Andrea Kok;Bruidspaar;1711;
371;Jan Walyen & Susanna Welsingh;Bruidspaar;1712;
372;Hermanus Burghorst & Alida van Tarelink;Bruidspaar;1713;
373;Willem Cramer & Maria Vermeulen;Bruidspaar;1713;
374;Hendrik Hagen & Anna van Anklam;Bruidspaar;1713;
375;Abraham van Heusden & Henderina Schipper;Bruidspaar;1716;
376;Bernardus van Gerrevink;Auteur, Drukker;;
377;Jan Izaaksz van Gelein & Maria Elizabet Ryken;Bruidspaar;1716;
378;Abraham Jacob Schluiter & Katharina Geertruid d' Outrein;Bruidspaar;1717;
379;Fransina Jacoba Coets geb. van Westrem;Auteur;;
380;Jan Frederik Teeckman;Auteur;;
381;Nicolaas Simon van Leeuwaarden;Auteur;;
382;Daniel Willink;Auteur;;
383;C. Biben;Auteur;;
384;Johannes d'Outrein;Auteur;;
385;Gillis Buys & Cornelia van Veen;Bruidspaar;1718;
386;Jan van Hoogstraten;Auteur, Drukker;;
387;Mattheus de Jager & Catharina Calkoen;Bruidspaar;1719;
388;Hendrik Bodisco & Jacomina Gallard;Bruidspaar;1719;
389;P. Struyk;Auteur;;
390;Nicolaas van Loenen & Maria Craandyk;Bruidspaar;1720;
391;Justus de Veer & Catharina Bruynvis;Bruidspaar;1720;
392;Frans van de Wall & Geertruid Deym;Bruidspaar;1720;
393;Pieter Vlaming;Auteur;;
394;Engelbert Clumper & Alida Maria van Dorsten;Bruidspaar;1721;
395;Dirk Clumper;Auteur;;
396;Pieter Muyser & Alida de Vries;Bruidspaar;1721;
397;François Straalman & Margareta Kops;Bruidspaar;1721;
398;Pieter Verduyn & Johanna van Leeuwen;Bruidspaar;1721;
399;Evert Visscher;Auteur, Drukker;;
400;Jan Koenerding & Adriana van Hoorn;Bruidspaar;1721;
401;Jan van Dinteren;Auteur;;
402;Joan Lubeex & Johanna de Jong;Bruidspaar;1721;
403;Izaak Du Sart;Auteur;;
404;Simon van Leeuwaarden;Auteur;;
405;Samuel Sylvius;Auteur;;
406;Jan van Baalen & Anna Judith Scholten;Bruidspaar;1722;
407;Jan van Groeningen & Maria van Boorn;Bruidspaar;1722;
408;Jan Wittig & Geertruy Neder;Bruidspaar;1723;
409;Anthony Timmerman & Cornelia van Hoek;Bruidspaar;1723;
410;Johannes Tideman;Auteur;;
411;Frans Verryn & Clementia van den Ende;Bruidspaar;1723;
412;Joannes Sluyter;Auteur;;
413;Adolph Sluyter;Auteur;;
414;Jakobus van der Hoeff & Margareta Heems;Bruidspaar;1723;
415;Jacob van Varelen & Geertruyda de Beer;Bruidspaar;1724;
416;Henricus Hancock & Johanna Mor;Bruidspaar;1724;
417;A. Boom;Auteur;;
418;S.S.H.;Auteur;;
419;Petrus Smids & Margareta Engelbregt;Bruidspaar;1724;
420;Matthaeus Brouërius van Nidek;Auteur;;
421;A. Speelman;Auteur;;
422;Govert van Mater;Auteur;;
423;D.G.;Auteur;;
424;Balthazar Nolthenius & Johanna Boel;Bruidspaar;1725;
425;Catharina Oillaarts;Auteur;;
426;Hendrik Hendriksz Boel;Auteur;;
427;Jan Isaac Robidé;Auteur;;
428;Jan van Leeuwen;Auteur;;
429;S. van de Velde;Auteur;;
430;Jan Melchiorsz van den Bosch;Auteur;;
431;Hendrik Hendriksz Boel & Cornelia van Leeuwen;Bruidspaar;1725;
432;Adrianus Molengraaf;Auteur;;
433;Willem van Doorn;Auteur;;
434;Balthazar Nolthenius;Auteur;;
435;Fredrik Duim;Auteur, Drukker;;
436;Joannes (Jr) Linklaan & Anna Rentink;Bruidspaar;1725;
