0;Jaar;Bruidegom;Bruid;Bruidspaar;Drukker;Plaats;Auteur1;Auteur2;Auteur3;Auteur4;Auteur5;Auteur6;Auteur7;Auteur8;Auteur9;Auteur10;Auteur11;Auteur12;Auteur13;Auteur14;Auteur15;Auteur16;Auteur17;Auteur18;Auteur19;Auteur20;Auteur21;Auteur22
115;1663;Pieter Willemsz Roosekrans;Elisabeth Brouwers;Pieter Willemsz Roosekrans & Elisabeth Brouwers;Abraham Jacobsz van der Beeck;Amsterdam;Johan Beets ;;;;;;;;;;;;;;;;;;;;;
116;1684;Marten Fesma;Margareta van Leeuwaarden;Marten Fesma & Margareta van Leeuwaarden;Marcus Willemsz Doornick;Amsterdam;;;;;;;;;;;;;;;;;;;;;;
117;1687;Benjamin Perne;Hermina van de Wall;Benjamin Perne & Hermina van de Wall;Adrianus Bartius;Amsterdam;vallo proxima Vallis;;;;;;;;;;;;;;;;;;;;;
118;1690;Jan Thomasz d' Vogel;Catharina d' Vogel;Jan Thomasz d' Vogel & Catharina d' Vogel;Hendrik van I Damme;;P.S.;;;;;;;;;;;;;;;;;;;;;
119;1665;Wilhelmus Trezenier;Anna van Rozebeeck;Wilhelmus Trezenier & Anna van Rozebeeck;Thomas Berry;;Abraham Veesaert ;D.E.;;;;;;;;;;;;;;;;;;;;
120;1698;Louwerens Verstraaten;Elisabet Havius;Louwerens Verstraaten & Elisabet Havius;Casparus Lootsman;Alphen;M. Domp ;;;;;;;;;;;;;;;;;;;;;
121;1698;Hendrik van Rozeveld;Hermina den Ruuk;Hendrik van Rozeveld & Hermina den Ruuk;Hermannus Goddaeus;Altona;Johan van Dueren ;;;;;;;;;;;;;;;;;;;;;
122;1704;Johannes de Lover;Gertrudis Kok;Johannes de Lover & Gertrudis Kok;Jacob Brouwer;Delft;Regnerus de Lover ;;;;;;;;;;;;;;;;;;;;;
123;1705;Dirck Bruininck;Catharina Inses;Dirck Bruininck & Catharina Inses;Hermanus Herts;Amsterdam;J.B.;;;;;;;;;;;;;;;;;;;;;
124;1665;Jan Vriesenburgh;Aaltje Klaesz van der Veen;Jan Vriesenburgh & Aaltje Klaesz van der Veen;Jan I Rieuwertsz;Amsterdam;D. de Neufville ;;;;;;;;;;;;;;;;;;;;;
125;1666;Geeraerd Claesz Blaaupot;Elisabet Wachtendonk;Geeraerd Claesz Blaaupot & Elisabet Wachtendonk;Herman Aeltsz;Amsterdam;Jan Vriesenburgh ;;;;;;;;;;;;;;;;;;;;;
126;1670;Gerard Reessen;Maria Nering;Gerard Reessen & Maria Nering;Herman Aeltsz;Rotterdam;Jan Copyn ;;;;;;;;;;;;;;;;;;;;;
127;1691;Petrus Bos;Katharina Beyerman;Petrus Bos & Katharina Beyerman;Barent Bos;Amsterdam;Johannes Molinaeus ;Caspar Brandt ;Adriaan van Cattenburch ;C.Jz de With ;Georgius Sonhoven ;Cornelis van der Zee ;;;;;; ;;;;;;;;;;
128;1696;Jan de Kaarsgieter;Elisabeth Hosee;Jan de Kaarsgieter & Elisabeth Hosee;Willem de Coup;Amsterdam;François de Kaarsgieter ;Z. Hosee ;;;;;;;;;;;;;;;;;;;;
129;1699;Johannes Visscher;Kunira van Hoek;Johannes Visscher & Kunira van Hoek;Willem de Coup;Amsterdam;Pierre Marin ;;;;;;;;;;;;;;;;;;;;;
130;1719;Bartholomeus Matthon;Adriana Ras;Bartholomeus Matthon & Adriana Ras;Jan van Damme;Amsterdam;Adriaan de Jonge ;;;;;;;;;;;;;;;;;;;;;
131;1723;Jan van Zutphen;Cornelia Waterman;Jan van Zutphen & Cornelia Waterman;Pieter van den II Berge;Amsterdam;Maria de Wilde ;Jacobus van der Strengh ;Eduard Sennepart ;D.V.V.;Govert Klinkhamer ;Josua Eversdyk ;;;; ;;;;;;;;;;;;
132;1723;Cornelis van Teylingen;Johanna Jacoba Dyklander;Cornelis van Teylingen & Johanna Jacoba Dyklander;Niklaas Dor;Amsterdam;Abraham Titsingh ;Adriaan de Kramer ;Jacobus van der Strengh ;Niklaas Dor ;J.B.;;;;;;;;;;;;;;;;;
133;1675;Cornelis de Graet;Catharina Guldewagen;Cornelis de Graet & Catharina Guldewagen;Claes Braau;Amsterdam;J. Vlakveld ;;;;;;;;;;;;;;;;;;;;;
134;1686;Jan Haring;Sara Vermeersch;Jan Haring & Sara Vermeersch;Arentsz;Amsterdam;I.V.B.;;;;;;;;;;;;;;;;;;;;;
135;1688;Gerard Pollius;Kornelia Kleur;Gerard Pollius & Kornelia Kleur;Joannes Boucart;Amsterdam;I. Pollius ;I. Houtman ;Adr Boucart ;Joannes de Canjoncle ;;;;;;;;;;;;;;;;;;
136;1688;Cornelius van Weede;Katarina Longespee;Cornelius van Weede & Katarina Longespee;Johannes Dale;Delft;;;;;;;;;;;;;;;;;;;;;;
137;1692;Huibert van Speek;Elizabet Vollenhove;Huibert van Speek & Elizabet Vollenhove;Boeteman;Amsterdam;J. Carel ;A.V.H.;;;;;;;;;;;;;;;;;;;;
138;1692;Huibert van Speek;Elizabet Vollenhove;Huibert van Speek & Elizabet Vollenhove;Boeteman;Amsterdam;J. Carel ;A.V.H.;;;;;;;;;;;;;;;;;;;;
139;1695;Isbrandus Fabricius;Petronella van der Wier;Isbrandus Fabricius & Petronella van der Wier;Daniel Oostendorp;Wassenaar;Jan Norel ;;;;;;;;;;;;;;;;;;;;;
140;1696;Hendrik Boel;Cornelia de Geus;Hendrik Boel & Cornelia de Geus;Boeteman;Haarlem;Tobias Boel ;Anthony Jansen ;J.S.;;;;;;;;;;;;;;;;;;;
141;1700;Theodorus Bruynenburg;Anna Maria van Hanenburg;Theodorus Bruynenburg & Anna Maria van Hanenburg;Willem Doornick;Amsterdam;L. Kramp ;J. Noelmans ;H. Pelkoor ;J. Deutz ;Jan Wenkink ;Frans Ryk ;;;;;;;;;;;;;;;;
142;1720;Jan van Kesteren;Lucresia Rosdorp;Jan van Kesteren & Lucresia Rosdorp;Harder van (wed) Ditmer;Amsterdam;Anthony van der Voort ;Arnoldus Noordbeek ;;;;;;;;;;;;;;;;;;;;
143;1721;Petrus van Heimenberg;Margareta Brandenburg;Petrus van Heimenberg & Margareta Brandenburg;Casparus (wed) Cotius;;Casparus Henricus van Heimenberg ;;;;;;;;;;;;;;;;;;;;;
144;1727;Jacob Kuyper;Hester Roelina Nieuwenhuis;Jacob Kuyper & Hester Roelina Nieuwenhuis;Hendrik Bosch;;W. de Koker ;G. ten Naarden ;;;;;;;;;;;;;;;;;;;;
145;1681;Josias Ingelbrechts;Maria Reyniers;Josias Ingelbrechts & Maria Reyniers;Herman Aeltsz;Amsterdam;Bernard Vollenhove ;;;;;;;;;;;;;;;;;;;;;
146;1682;Joan Marissal;Anna Herseleyn;Joan Marissal & Anna Herseleyn;Aris Akersloot;Den Haag;;;;;;;;;;;;;;;;;;;;;;
147;1683;Jan de Wys;Catharina van Os;Jan de Wys & Catharina van Os;Lescailje;;Sybrand Feitama ;;;;;;;;;;;;;;;;;;;;;
148;1721;Pieter Mes;Maria Ophoven;Pieter Mes & Maria Ophoven;Pieter Buyster;;Wilhelmus van Ysselstein ;;;;;;;;;;;;;;;;;;;;;
149;1722;Roelof Robyn;Maria van der Linden;Roelof Robyn & Maria van der Linden;Niklaas Dor;Amsterdam;Swerus Robyn ;Adriaan de Kramer ;Harmanus Meyer ;Ph Swaan ;Abraham Titsingh ;;;;;;;;;;;;;;;;;
150;1724;Nicolaas Fremyn;Angenieta Dykman;Nicolaas Fremyn & Angenieta Dykman;Pieter van den II Berge;Amsterdam;Nicolaas Davidsz Vermey ;Hendrik Dykman ;Louis Vermey ;Magnus Dykman ;;;;;;;;;;;;;;;;;;
151;1724;Pieter Cleevering van Vyve;Margareta de Mourheron;Pieter Cleevering van Vyve & Margareta de Mourheron;Niklaas Dor;Utrecht;N. Cleevering van Vyve ;B. van Vyve ;Jan Mol ;;;;;;;;;;;;;;;;;;;
152;1710;Wilhem van Maurik;Eva van Gelder;Wilhem van Maurik & Eva van Gelder;;;Christiaan Tirion ;Abraham Peyster ;Cornelis van Eeke ;;;;;;;;;;;;;;;;;;;
153;1728;Egidius van der Hoop;Hester de Min;Egidius van der Hoop & Hester de Min;Pieter van den II Berge;;A. Wildeman ;D.A.A.G.;;;;;;;;;;;;;;;;;;;;
154;1716;Herman Willem Roelink;Anna Maria Eekhout;Herman Willem Roelink & Anna Maria Eekhout;Casparus (wed) Cotius;Maassluis;Casparus Henricus van Heimenberg ;;;;;;;;;;;;;;;;;;;;;
155;1715;Goverd van Veldhuysen;Jacomina Christiaansen;Goverd van Veldhuysen & Jacomina Christiaansen;Cornelis (wed en zoon) Boutesteyn;;Nicolaas van Poelgeest ;Johannes Schroder ;Hermanus van den Burg ;N.V.O.;Floris Schouten ;Felix de Klopper ;;;;;; ;;;;;;;;;;
156;1627;Pieter Cornelisz Hooft;Eleonora Hellemans;Pieter Cornelisz Hooft & Eleonora Hellemans;Blaeu;Amsterdam;Joost van den Vondel ;;;;;;;;;;;;;;;;;;;;;
157;1731;Jeronimo de Bosch;Judith Willink;Jeronimo de Bosch & Judith Willink;Willem van Egmont;Amsterdam;Pieternel;;;;;;;;;;;;;;;;;;;;;
158;1729;Jan Izaaksz van den Bogaerd;Magdalena Maria van den Bogaerd;Jan Izaaksz van den Bogaerd & Magdalena Maria van den Bogaerd;Verbeek;Amsterdam;Cornelis Izaaksz van den Bogaerd ;J.V.M.;;;;;;;;;;;;;;;;;;;;
159;1726;Hieronimus Slicher;Catharina Cornelia Temminck;Hieronimus Slicher & Catharina Cornelia Temminck;Joannes Oosterwyk;Purmerland;Egbert de Vry Temminck ;Joannes Oosterwyk ;;;;;;;;;;;;;;;;;;;;
160;1723;Jan Gijsbert de Mey;Kataryne van Gerwen;Jan Gijsbert de Mey & Kataryne van Gerwen;Boudewijn Janssoon van der II Aa;Hoorn;Laurens Steversloot ;Joan Doornik ;Johannes Schroder ;H.T.;;;;;;;;;;;;;;;;;;
161;1728;Nicolaus Spranger;Maria van den Honert;Nicolaus Spranger & Maria van den Honert;;Amsterdam;Franciscus Burman ;Theodorus Haganaeus ;Petrus Burman ;Jan van der Voort ;Adrianus Wolff ;N. Bak ;;;;;;;;;;;;;;;;
162;1724;Philippus Westerbaen;Welhelma Lookermans;Philippus Westerbaen & Welhelma Lookermans;Johan van Doesburg;Leiden;Johan van Doesburg ;;;;;;;;;;;;;;;;;;;;;
163;1718;Arent Bosch;Eletta Thesingh;Arent Bosch & Eletta Thesingh;Goeree;Amsterdam;David van Hoogstraten ;Jan Baptista Wellekens ;Pieter Vlaming ;Claas Bruin ;Hendrik van Halmael ;;;;;;;;;;;;;;;;;
164;1728;Cornelis van Bynkershoek;Gerardina Cloot;Cornelis van Bynkershoek & Gerardina Cloot;;;Carolus van Heusden ;;;;;;;;;;;;;;;;;;;;;
165;1742;Johannes Hop;Cornelia Maria van Stryen;Johannes Hop & Cornelia Maria van Stryen;Elisabeth Paauw;;Otto Arntzenius ;;;;;;;;;;;;;;;;;;;;;
166;1720;Adriaan Prins;Elizabeth Schepers;Adriaan Prins & Elizabeth Schepers;Michel Böhm;Rotterdam;Pieter van der Schelling ;;;;;;;;;;;;;;;;;;;;;
167;1735;Andreas Cunaeus;Agneta Jacoba van den Bergh;Andreas Cunaeus & Agneta Jacoba van den Bergh;Johan van den Bergh (1664-1755);Dordrecht;David van Royen ;;;;;;;;;;;;;;;;;;;;;
168;1715;Dirk de Back;Jakoba van Kouwenhoven;Dirk de Back & Jakoba van Kouwenhoven;Nicolaas Bos;Rotterdam;David van Hoogstraten ;Cornelius van Arckel ;J. de Back ;;;;;;;;;;;;;;;;;;;
169;1683;David Barnaerts;Anna Keteling;David Barnaerts & Anna Keteling;Boeteman;Amsterdam;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
170;1695;Jacob van Beek;Gouda van Gent;Jacob van Beek & Gouda van Gent;Boeteman;;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
171;1691;Pieter van Beek;Katarina Aldeweerelt;Pieter van Beek & Katarina Aldeweerelt;Boeteman;Amsterdam;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
172;1693;Pieter van Beek;Klemencia Vollenhove;Pieter van Beek & Klemencia Vollenhove;Boeteman;Wesel;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
173;1688;Pieter Beets;Maria Roosekrans;Pieter Beets & Maria Roosekrans;Boeteman;Amsterdam;Anthony Jansen ;A. Henstenburg ;;;;;;;;;;;;;;;;;;;;
174;1690;Vredenryk Beets;Sara Vorsterman;Vredenryk Beets & Sara Vorsterman;Boeteman;Middelharnis;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
175;1693;Izaak van Beuningen;Maria Ehmens;Izaak van Beuningen & Maria Ehmens;Boeteman;Amsterdam;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
176;1694;Abraham Blaaupot;Elisabeth Bruin;Abraham Blaaupot & Elisabeth Bruin;Boeteman;Dordrecht;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
177;1690;Theodorus van Born;Maria van der Schuuren;Theodorus van Born & Maria van der Schuuren;Boeteman;Rotterdam;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
178;1640;Jan Jacobsz Bouman;Aeltie Broers;Jan Jacobsz Bouman & Aeltie Broers;Joost Broersz;Amsterdam;;;;;;;;;;;;;;;;;;;;;;
179;1746;Petrus (1713-1778) Burman;Anna Knuyse;Petrus (1713-1778) Burman & Anna Knuyse;;Amsterdam;Otto Arntzenius ;Bartholomaeus Sieben ;Jan Pieter Theodoor Huydecoper ;Ernst Willem Higt ;Jan Willem Kerkhoven ;;;;;;;;;;;;;;;;;
180;1695;Sieuwert Centen;Johanna Bruyn;Sieuwert Centen & Johanna Bruyn;Boeteman;;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
181;1693;Izaak Daams;Alida Roermond;Izaak Daams & Alida Roermond;Boeteman;;Anthony I.U. Jansen ;;;;;;;;;;;;;;;;;;;;;
182;1691;Andries van Dale;Maria Dop;Andries van Dale & Maria Dop;Boeteman;Amsterdam;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
183;1698;Hieronymus Simonsz van Alphen;Martina Biler;Hieronymus Simonsz van Alphen & Martina Biler;Gerardus I Borstius;;J. Costius ;;;;;;;;;;;;;;;;;;;;;
184;1693;Jan Dop;Maria Bording;Jan Dop & Maria Bording;Boeteman;Amsterdam;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
185;1698;Hieronymus Simonsz van Alphen;Martina Biler;Hieronymus Simonsz van Alphen & Martina Biler;Gerardus I Borstius;Dordrecht;Johannes d' Outrein ;Johan baron van Arnhem ;Hieronymus Simonsz van Alphen ;;;;;;;;;;;;;;;;;;;
186;1675;Engelbert Engelen;Sophia Engelen;Engelbert Engelen & Sophia Engelen;Jacob van Biesen;Amsterdam;Theodorus Brandolphus ;;;;;;;;;;;;;;;;;;;;;
187;1690;Franciscus Fabricius;Anna van Teylingen;Franciscus Fabricius & Anna van Teylingen;;Alkmaar;G.B.;;;;;;;;;;;;;;;;;;;;;
188;1670;Joan Flodorp;Catharina Willems Jeeuwels;Joan Flodorp & Catharina Willems Jeeuwels;Cornelis Croock;Amsterdam;Jan Cos ;;;;;;;;;;;;;;;;;;;;;
189;1696;Willem Fremery;Margarieta Kroon;Willem Fremery & Margarieta Kroon;Boeteman;Amsterdam;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
190;1710;Servaas Havart;Bartranda Cornelia Bichon;Servaas Havart & Bartranda Cornelia Bichon;Reinier van Doesburg;Amsterdam;Daniel Havart ;;;;;;;;;;;;;;;;;;;;;
191;1684;Jan Haring;Anna van der Schuuren;Jan Haring & Anna van der Schuuren;Boeteman;Middelburg;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
192;1663;Nicolaus Haring;Susanna Marcus;Nicolaus Haring & Susanna Marcus;Marcus Willemsz Doornick;Amsterdam;;;;;;;;;;;;;;;;;;;;;;
193;1682;Gerbrant Hartzen;Ida Blok;Gerbrant Hartzen & Ida Blok;Boeteman;Amsterdam;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
194;1696;Izaak van Hoven;Anna van der Vecht;Izaak van Hoven & Anna van der Vecht;Boeteman;Hamburg;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
195;1692;Philip van Kemmena;Katarina Elizabet van Thoor;Philip van Kemmena & Katarina Elizabet van Thoor;Boeteman;Amsterdam;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
196;1691;Jan van Koppenol;Cornelia Aartsen;Jan van Koppenol & Cornelia Aartsen;Boeteman;Maassluis;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
197;1693;Geerling Kops;Sara Teyler;Geerling Kops & Sara Teyler;Boeteman;Middelburg;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
198;1687;Jakobus Kops;Elizabeth Barnaart;Jakobus Kops & Elizabeth Barnaart;Boeteman;Amsterdam;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
199;1683;Nikolaes Kops;Sara van Kazele;Nikolaes Kops & Sara van Kazele;Boeteman;Amsterdam;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
200;1683;Jan Copyn;Katarina Antwerpen;Jan Copyn & Katarina Antwerpen;Boeteman;Leiden;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
201;1683;Niklaes Kopyn;Maria Verschuure;Niklaes Kopyn & Maria Verschuure;Boeteman;Woerden;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
202;1673;Arnout II Leers;Katharyne Soetens;Arnout II Leers & Katharyne Soetens;Levijn van I Dijck;;M.S.;;;;;;;;;;;;;;;;;;;;;
203;1692;Dirk van Lennep;Susanna Leeuw;Dirk van Lennep & Susanna Leeuw;Boeteman;Leiden;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
204;1695;Stefanus van Leuvenig;Anna Kuiken;Stefanus van Leuvenig & Anna Kuiken;Boeteman;;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
205;1688;Jan Jansen Louwe;Anna Roos;Jan Jansen Louwe & Anna Roos;Boeteman;Amsterdam;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
206;1725;Johan van Mierop;Margareta Deynoot;Johan van Mierop & Margareta Deynoot;Philippus Losel;Amsterdam;Pieter van der Schelling ;;;;;;;;;;;;;;;;;;;;;
207;1643;Geeraert Karels Morel;Margarita Abrahams Melane;Geeraert Karels Morel & Margarita Abrahams Melane;Broer Jansz;Den Haag;G.D.C.;;;;;;;;;;;;;;;;;;;;;
208;1642;Machiel Moris;Sara de La Tombe;Machiel Moris & Sara de La Tombe;Nicolaes van Ravesteyn;Enkhuizen;;;;;;;;;;;;;;;;;;;;;;
209;1690;Jan de Neufville;Joanna van Beeck;Jan de Neufville & Joanna van Beeck;Boeteman;Amsterdam;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
210;1642;Pieter de Niellius;Maria Cornelissen;Pieter de Niellius & Maria Cornelissen;Joost Hartgersz;Amsterdam;A. de Brull ;;;;;;;;;;;;;;;;;;;;;
211;1679;Jan Nieuwenhove;Eva Blok;Jan Nieuwenhove & Eva Blok;Johannes Dale;Amsterdam;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
212;1682;Jakob Noë;Elizabet Verbrugge;Jakob Noë & Elizabet Verbrugge;Boeteman;Amsterdam;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
213;1696;Justus de Haan;Johanna Linnich van Koppenol;Justus de Haan & Johanna Linnich van Koppenol;Boeteman;Amsterdam;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
214;1695;François van Halmael;Barbara van Wylik;François van Halmael & Barbara van Wylik;Boeteman;Delft;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
215;1689;Pieter van Halmael Adams;Suzanna Betrang;Pieter van Halmael Adams & Suzanna Betrang;Boeteman;Amsterdam;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
216;1685;David Roeters;Anna van der Meersch;David Roeters & Anna van der Meersch;Boeteman;;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
217;1679;Gerard Rogge;Geertruit Konink;Gerard Rogge & Geertruit Konink;Johannes Dale;Dordrecht;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
218;1716;Jakob van Rykevorsel;Lidia Sleght;Jakob van Rykevorsel & Lidia Sleght;;Breda;Joan de Haes ;;;;;;;;;;;;;;;;;;;;;
219;1691;Hendrik Oosterling;Kornelia de Veer;Hendrik Oosterling & Kornelia de Veer;Boeteman;Amsterdam;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
220;1750;Christian Scholten van Aschat;Johanna Catharina van Wesele;Christian Scholten van Aschat & Johanna Catharina van Wesele;Jan Daniel Beman;;Johannes Verhaag ;;;;;;;;;;;;;;;;;;;;;
221;1682;Joan van der Smisse;Katharina Barnaart;Joan van der Smisse & Katharina Barnaart;Boeteman;Delft;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
222;1728;Johannes van Steelant;Johanna Geertruyda Gerlag;Johannes van Steelant & Johanna Geertruyda Gerlag;Reinier Boitet;Amsterdam;Cornelius s-Gravesande ;Hubert Kornelisz Poot ;Reinier Boitet ;;;;;;;;;;;;;;;;;;;
223;1724;Petrus de Sterke;Eva van Meerten;Petrus de Sterke & Eva van Meerten;Johan van Doesburg;Amsterdam;Johan van Doesburg ;Arnold Nachtegael Klemens ;Kornelis van Koeverden ;Abraham Elzevier ;;;;;;;;;;;;;;;;;;
224;1689;Jacob Teyler;Magdalena de Haan;Jacob Teyler & Magdalena de Haan;Boeteman;;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
225;1695;Joan Jakobsz Teyler;Maria van Gelein;Joan Jakobsz Teyler & Maria van Gelein;Boeteman;Amsterdam;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
226;1729;Herman Vingerhoedt (1697-1762);Maria 's-Graefweg;Herman Vingerhoedt (1697-1762) & Maria 's-Graefweg;;Amsterdam;Cornelis Nieuwaart ;Willem van der Pot ;Dirk Smits ;J.B.;;;;;;;;;;;;;;;;;;
227;1757;Jan van Voorst;Willemina Aletta Kien;Jan van Voorst & Willemina Aletta Kien;Kroon;;Nicolaas Kien ;Abraham de Bucquoy ;Jan Adriaan van Wachendorff ;Willem Kroon ;;;;;;;;;;;;;;;;;;
228;1692;Kornelis van Walre;Elizabet Roeters;Kornelis van Walre & Elizabet Roeters;Boeteman;Amsterdam;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
229;1692;Laurens Willing;Anna Fries;Laurens Willing & Anna Fries;Boeteman;Haarlem;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
230;1693;Dirk Willink;Christina Kramer;Dirk Willink & Christina Kramer;Boeteman;Rotterdam;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
231;1693;Dirk Willink;Christina Kramer;Dirk Willink & Christina Kramer;Boeteman;;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
232;1694;Joan van Woensel;Margareta Noortdyk;Joan van Woensel & Margareta Noortdyk;Boeteman;Dordrecht;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
233;1695;Salomon van Wylik;Christina Roeters;Salomon van Wylik & Christina Roeters;Boeteman;Dordrecht;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
234;1756;Huibert van Wyn;Susanna Margareta Molenaar;Huibert van Wyn & Susanna Margareta Molenaar;;;Hendrik van Wyn ;;;;;;;;;;;;;;;;;;;;;
235;1748;Nicolaas Ypey;Elizabeth Helena Smit;Nicolaas Ypey & Elizabeth Helena Smit;Jacob Brouwer;Rotterdam;Joannes Pierson ;Carolus Limberger ;Ernst Willem Higt ;Jan Althuysen ;Joannes Cuperus ;Pibo Smit ;Johannes Henricus Andreae ;;; ;;;;;;;;;;;;
236;1695;Jakob Paradys;Maria van Os;Jakob Paradys & Maria van Os;Boeteman;;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
237;1746;Jan Frederik Parvé;Maria Adriana van den Broeck;Jan Frederik Parvé & Maria Adriana van den Broeck;Enschede;Aarlanderveen;Jan Pieter Theodoor Huydecoper ;Lucretia Wilhelmina van Merken ;;;;;;;;;;;;;;;;;;;;
238;1693;Abraham Inses;Willemyna Stok;Abraham Inses & Willemyna Stok;Boeteman;Amsterdam;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
239;1692;Kornelis Vinkestein;Maiken Hooft;Kornelis Vinkestein & Maiken Hooft;Boeteman;Amsterdam;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
240;1695;Jacob van Beek;Gouda van Gent;Jacob van Beek & Gouda van Gent;Arentsz;;Isaac Feitama ;Eduard Feitama ;;;;;;;;;;;;;;;;;;;;
241;1670;Kornelis Jansz Benningbroek;Elisabet Moyses;Kornelis Jansz Benningbroek & Elisabet Moyses;Cornelis Croock;;D. Cos ;;;;;;;;;;;;;;;;;;;;;
242;1653;Anthonius Bevers;Maria Lieftinck;Anthonius Bevers & Maria Lieftinck;Johannes van Paddenburgh;Amsterdam;G. Vligerius ;;;;;;;;;;;;;;;;;;;;;
243;1644;Cornelis Cabeljau;Elisabeth Maertens;Cornelis Cabeljau & Elisabeth Maertens;Van Dorp;Leiden;J.H.;;;;;;;;;;;;;;;;;;;;;
244;1643;Warnaer Coesvelt;Anna Kinth;Warnaer Coesvelt & Anna Kinth;Van Dorp;Amsterdam;P.K.;;;;;;;;;;;;;;;;;;;;;
245;1668;Leonardus Comenick;Catarina Bidloo;Leonardus Comenick & Catarina Bidloo;Christoffel II Doll;Gouda;Simon Simonides ;;;;;;;;;;;;;;;;;;;;;
246;1640;Jan Crauwelaer;Maria Malevesey;Jan Crauwelaer & Maria Malevesey;Willem Christiaens van der Boxe;;P. Weytens ;;;;;;;;;;;;;;;;;;;;;
247;1675;Pieter de Groot (1615-1678);Alida de Groot;Pieter de Groot (1615-1678) & Alida de Groot;Hugo de Groot;Amsterdam;Geeraert Brandt ;;;;;;;;;;;;;;;;;;;;;
248;1639;Pieter Ardinoys;Maria Ouzeel;Pieter Ardinoys & Maria Ouzeel;Willem Christiaens van der Boxe;;I.H.P.B.;;;;;;;;;;;;;;;;;;;;;
249;1615;Wilhelm Luytsz van Kittensteyn;Maria Lambrechts Cocqus;Wilhelm Luytsz van Kittensteyn & Maria Lambrechts Cocqus;Jan Andriesz;;;;;;;;;;;;;;;;;;;;;;;
250;1642;Adriaen de Rijck;Maria Walckier;Adriaen de Rijck & Maria Walckier;Jan Jansz van Dorp;Amsterdam;Wilhelmus Walckier ;P. van Maersche ;;;;;;;;;;;;;;;;;;;;
251;1642;Petrus Roylandus;Margarita Dierten;Petrus Roylandus & Margarita Dierten;Simon Cornelisz Brekegeest;Leiden;M.H.L.;G.V.H.;;;;;;;;;;;;;;;;;;;;
252;1629;Pieter de Ruysscher;Sibilla Vorstius;Pieter de Ruysscher & Sibilla Vorstius;Poppius & Stam;Rotterdam;V.G.;;;;;;;;;;;;;;;;;;;;;
253;1751;Meinardus Ruysch;Barbara Hillegonda van der Stel;Meinardus Ruysch & Barbara Hillegonda van der Stel;;Amsterdam;Pieter Schipper ;;;;;;;;;;;;;;;;;;;;;
254;1645;Claes van Toll;Jacomijntje de Vinder;Claes van Toll & Jacomijntje de Vinder;Willem Christiaens van der Boxe;Amsterdam;Claes. van Toll ;;;;;;;;;;;;;;;;;;;;;
255;1732;Pieter Twent;Elisabeth Adriana van der Lely;Pieter Twent & Elisabeth Adriana van der Lely;;;Hippocrates;;;;;;;;;;;;;;;;;;;;;
