0;Jaar;Bruidegom;Bruid;Bruidspaar;Drukker;Plaats;Auteur1;Auteur2;Auteur3;Auteur4;Auteur5;Auteur6;Auteur7;Auteur8;Auteur9;Auteur10;Auteur11;Auteur12;Auteur13;Auteur14;Auteur15;Auteur16;Auteur17;Auteur18;Auteur19;Auteur20;Auteur21;Auteur22
67;1692;Isaac Feitama;Katharina Rooleeuw;Isaac Feitama & Katharina Rooleeuw;Boeteman;Leiden;Anthony Jansen ;Eduard Feitama ;;;;;;;;;;;;;;;;;;;;
68;1692;Antoni Kops;Maria Vermande;Antoni Kops & Maria Vermande;Boeteman;Amsterdam;Anthony Jansen ;Dirk ten Kate ;Johannes Bredenburg ;A. Timmermans ;;;;;;;;;;;;;;;;;;
69;1678;Abraham van den Ende;Hillegonda Clara Ham;Abraham van den Ende & Hillegonda Clara Ham;Boom;Amsterdam;Joachim Oudaan ;Govard Bidloo ;;;;;;;;;;;;;;;;;;;;
70;1713;Joris Holiarhoek;Catharina van Treuben;Joris Holiarhoek & Catharina van Treuben;Van Egmont;;Hendrik Holiarhoek ;Filips Piek ;Ryk Ryke ;Nicolaas Le Seur ;J. Holiarhoek ;;;;;;;;;;;;;;;;;
71;1713;Pieter Franken;Geertruid Abrahams van den Bogaard;Pieter Franken & Geertruid Abrahams van den Bogaard;Jan van Damme;;C. van den Bogaard ;;;;;;;;;;;;;;;;;;;;;
72;1723;Reinier Oortman;Cornelia Elisabet Swildens;Reinier Oortman & Cornelia Elisabet Swildens;Pieter I Muntendam;Haarlem;Isaak van Doorn ;;;;;;;;;;;;;;;;;;;;;
73;1725;Willem Smits;Anna Scheltus;Willem Smits & Anna Scheltus;Scheltus;Rotterdam;H. Scheltus ;;;;;;;;;;;;;;;;;;;;;
74;1726;Gerrit Boon;Jacoba van Ostade;Gerrit Boon & Jacoba van Ostade;Van Esch;Haarlem;Wernerus Köhne ;Arnoldus Henricus Westerhovius ;Jan Terwen ;W.K.;K. Casius ;Daniel van (Jr) Beke ;Theodorus Paludanus ;P. Boon ;W.V.;;;;;;;;;;;;;
75;1696;Pieter Edens;Catharina Inses;Pieter Edens & Catharina Inses;Boeteman;Haarlem;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
76;1696;Adriaan van Cattenburch;Maria Cornelia Sleght;Adriaan van Cattenburch & Maria Cornelia Sleght;Barent Bos;Rotterdam;Johannes Molinaeus ;P. van Pelt ;Petrus Bos ;Daniel Havart ;;;;;;;;;;;;;;;;;;
