0;Database;Jaar;Bruidegom;Bruid;Bruidspaar;Drukker;Plaats_druk;Plaats_huwelijk;Auteur1;Auteur2;Auteur3;Auteur4;Auteur5;Auteur6;Auteur7;Auteur8;Auteur9;Auteur10;Auteur11;Auteur12;Auteur13;Auteur14;Auteur15;Auteur16;Auteur17;Auteur18;Auteur19;Auteur20;Auteur21;Auteur22;Alleauteurs
1625;KB;1616.0;Hendrick Martens;Anneken Jansd;Hendrick Martens & Anneken Jansd;Paulus Aertsz van Ravesteyn;Amsterdam;Amsterdam;Gerrit Martens;;;;;;;;;;;;;;;;;;;;;;Gerrit Martens
2318;KB;1616.0;Pelgrim Harmansz van Hooft;Catharina Jelis;Pelgrim Harmansz van Hooft & Catharina Jelis;;;Amsterdam;;;;;;;;;;;;;;;;;;;;;;;
2319;KB;1616.0;Roelof de Vrij;Maritgen Servaesd Hendricz;Roelof de Vrij & Maritgen Servaesd Hendricz;;;;;;;;;;;;;;;;;;;;;;;;;;
294;KB;1617.0;Meynert van Buren;Diewer Jacobs;Meynert van Buren & Diewer Jacobs;;;Amsterdam;;;;;;;;;;;;;;;;;;;;;;;
554;KB;1617.0;Govert Boelisz;Margrieta Adriaens;Govert Boelisz & Margrieta Adriaens;Gerrit Hendricxsz van Breughel;Amsterdam;Hoorn;;;;;;;;;;;;;;;;;;;;;;;
652;KB;1617.0;Jan Hendricksoon;Chatarina Martens;Jan Hendricksoon & Chatarina Martens;Gerrit Hendricxsz van Breughel;Amsterdam;Den Haag;Jan Sieuwertsz Kolm;;;;;;;;;;;;;;;;;;;;;;Jan Sieuwertsz Kolm
906;KB;1617.0;Daniel Heinsius;Ermgard Rutgers;Daniel Heinsius & Ermgard Rutgers;Isaac Elzevier;Leiden;Amsterdam;Johannes Polyander;Petrus Bertius;Daniel Colonius;Gerardus Johannes Vossius;Richard Jean de Nerée;Petrus Hondius;Hector Bouricius;Lucas Holstein;Joan Casper Gevaerts;;;;;;;;;;;;;;Johannes Polyander, Petrus Bertius, Daniel Colonius, Gerardus Johannes Vossius, Richard Jean de Nerée, Petrus Hondius, Hector Bouricius, Lucas Holstein, Joan Casper Gevaerts
1407;KB;1617.0;Cornelis Faber;Niesje Claessen;Cornelis Faber & Niesje Claessen;Porcevant Morgan;Amsterdam;Amsterdam;;;;;;;;;;;;;;;;;;;;;;;
1571;KB;1617.0;François Hermans;Suzanna de Marees;François Hermans & Suzanna de Marees;Dirck Pietersz Pers;Amsterdam;Amsterdam;;;;;;;;;;;;;;;;;;;;;;;
1572;KB;1617.0;Jacobus Hooft;Margareta Du Quesnoy;Jacobus Hooft & Margareta Du Quesnoy;Dirck Pietersz Pers;Amsterdam;Amsterdam;;;;;;;;;;;;;;;;;;;;;;;
1585;KB;1617.0;Jacob Jansen Maynema;Jannetgen Pietersd;Jacob Jansen Maynema & Jannetgen Pietersd;Cornelis Lodewijkcksz van der Plasse;Amsterdam;;;;;;;;;;;;;;;;;;;;;;;;
1626;KB;1617.0;Quintyn Claesz Delleman;Lucretia Sluyters;Quintyn Claesz Delleman & Lucretia Sluyters;Paulus Aertsz van Ravesteyn;Amsterdam;;;;;;;;;;;;;;;;;;;;;;;;
1627;KB;1617.0;Govert Boelisz;Margrieta Adriaens;Govert Boelisz & Margrieta Adriaens;Paulus Aertsz van Ravesteyn;Amsterdam;Vianen;;;;;;;;;;;;;;;;;;;;;;;
1628;KB;1617.0;Jacobus van Cralingen;Magdalena van Soest;Jacobus van Cralingen & Magdalena van Soest;Paulus Aertsz van Ravesteyn;Amsterdam;Amsterdam;I. Striemes;;;;;;;;;;;;;;;;;;;;;;I. Striemes
1629;KB;1617.0;Meynert van Buren;Diewer Jacobs;Meynert van Buren & Diewer Jacobs;Paulus Aertsz van Ravesteyn;Amsterdam;Delft;Meynert Pietersz Voskuyl;;;;;;;;;;;;;;;;;;;;;;Meynert Pietersz Voskuyl
1630;KB;1617.0;Abraham Maior;Martyntjen Harmans;Abraham Maior & Martyntjen Harmans;Paulus Aertsz van Ravesteyn;Amsterdam;;;;;;;;;;;;;;;;;;;;;;;;
1631;KB;1617.0;Hendrick Evertsz Paes;Katharina de Harduyn;Hendrick Evertsz Paes & Katharina de Harduyn;Paulus Aertsz van Ravesteyn;Amsterdam;Amsterdam;;;;;;;;;;;;;;;;;;;;;;;
1727;KB;1617.0;Willem Harmans;Anneken Gerrits;Willem Harmans & Anneken Gerrits;Felix van Sambix;Rotterdam;Winschoten;Gerrit Martens;;;;;;;;;;;;;;;;;;;;;;Gerrit Martens
2320;KB;1617.0;Jan Ysbrantsen;Maria Vincents van Bronchorst;Jan Ysbrantsen & Maria Vincents van Bronchorst;;;Amsterdam;N. van Bronchorst;;;;;;;;;;;;;;;;;;;;;;N. van Bronchorst
3669;STCN;1617.0;Jacob Danielsz. De Bergh;Anna Floris dochter;Jacob Danielsz. De Bergh & Anna Floris dochter;Jan Andriesz Cloeting;Delft;;;;;;;;;;;;;;;;;;;;;;;;
386;KB;1618.0;Anthonius van Hede;Margarita van Halewyn;Anthonius van Hede & Margarita van Halewyn;Paulus Aertsz van Ravesteyn;Amsterdam;;;;;;;;;;;;;;;;;;;;;;;;
388;KB;1618.0;Daniel Martens;Geertruda Hem;Daniel Martens & Geertruda Hem;Paulus Aertsz van Ravesteyn;Amsterdam;Amsterdam;;;;;;;;;;;;;;;;;;;;;;;
469;KB;1618.0;Cornelis Kanter;Elisabet Lamberts;Cornelis Kanter & Elisabet Lamberts;Paulus Aertsz van Ravesteyn;Amsterdam;Haarlem;Theodoor Rodenburg;;;;;;;;;;;;;;;;;;;;;;Theodoor Rodenburg
495;KB;1618.0;Cornelis Dieryckz;Magdalena Ruts;Cornelis Dieryckz & Magdalena Ruts;Paulus Aertsz van Ravesteyn;Amsterdam;Rotterdam;Theodoor Rodenburg;;;;;;;;;;;;;;;;;;;;;;Theodoor Rodenburg
662;KB;1618.0;Thomas Jacobsz Hoing;Brechtken Pieters Vinck;Thomas Jacobsz Hoing & Brechtken Pieters Vinck;Marten Jansz Brandt;Amsterdam;Amsterdam;Henricus Velthusius;;;;;;;;;;;;;;;;;;;;;;Henricus Velthusius
907;KB;1618.0;Henricus de Putter;Digna Huygens;Henricus de Putter & Digna Huygens;Isaac Elzevier;Leiden;Amsterdam;;;;;;;;;;;;;;;;;;;;;;;
1050;KB;1618.0;Daniel Martens;Geertruda Hem;Daniel Martens & Geertruda Hem;Henrick Lodewijcxsz van Haestens;Leiden;Leiden;D. Weyssen;;;;;;;;;;;;;;;;;;;;;;D. Weyssen
1573;KB;1618.0;Wilhelm Fransz de Leeuw;Aeltjen Pieters Codde;Wilhelm Fransz de Leeuw & Aeltjen Pieters Codde;Dirck Pietersz Pers;Amsterdam;Haarlem;;;;;;;;;;;;;;;;;;;;;;;
1574;KB;1618.0;Jacob Jacobsz Hinlopen;Sara de Wael;Jacob Jacobsz Hinlopen & Sara de Wael;Dirck Pietersz Pers;Amsterdam;De Koog;Joost van den Vondel;;;;;;;;;;;;;;;;;;;;;;Joost van den Vondel
1575;KB;1618.0;Jan Woutersz van der Mye;Machteltjen Pieters Spiegel;Jan Woutersz van der Mye & Machteltjen Pieters Spiegel;Dirck Pietersz Pers;Amsterdam;Amsterdam;;;;;;;;;;;;;;;;;;;;;;;
1632;KB;1618.0;Pieter Benoyt;Anna de Marez;Pieter Benoyt & Anna de Marez;Paulus Aertsz van Ravesteyn;Amsterdam;Rotterdam;Gerbrant Adriaensz Brederode;;;;;;;;;;;;;;;;;;;;;;Gerbrant Adriaensz Brederode
1633;KB;1618.0;Dieryck Ysbrantsz Rodenburg;Catharina Boelen;Dieryck Ysbrantsz Rodenburg & Catharina Boelen;Paulus Aertsz van Ravesteyn;Amsterdam;Oost-Graftdijk;Theodoor Rodenburg;;;;;;;;;;;;;;;;;;;;;;Theodoor Rodenburg
1634;KB;1618.0;Peter Le Febvre;Nicole Wymer;Peter Le Febvre & Nicole Wymer;Paulus Aertsz van Ravesteyn;Amsterdam;Hoorn;;;;;;;;;;;;;;;;;;;;;;;
1635;KB;1618.0;Gysbert Coning;Aefken Jans;Gysbert Coning & Aefken Jans;Paulus Aertsz van Ravesteyn;Amsterdam;;;;;;;;;;;;;;;;;;;;;;;;
1636;KB;1618.0;Daniel Vorstens;Cornelia Michielsd;Daniel Vorstens & Cornelia Michielsd;Paulus Aertsz van Ravesteyn;Amsterdam;Amsterdam;Gerbrant Adriaensz Brederode;;;;;;;;;;;;;;;;;;;;;;Gerbrant Adriaensz Brederode
