0;Database;year;Bruidegom;Bruid;Bruidspaar;Drukker;Plaats_druk;Plaats_huwelijk;Auteur1;Auteur2;Auteur3;Auteur4;Auteur5;Auteur6;Auteur7;Auteur8;Auteur9;Auteur10;Auteur11;Auteur12;Auteur13;Auteur14;Auteur15;Auteur16;Auteur17;Auteur18;Auteur19;Auteur20;Auteur21;Auteur22;Alleauteurs;n-authors;firstname_bride;lastname_bride;firstname_groom;lastname_groom;firstname_printer;lastname_printer;bride_authors;groom_authors;bride_printer;groom_printer;Printer_authors;lastnameprinter_authors;bride_authors_count;groom_authors_count
92;KB;1693.0;Antoni van Maurik;Geertruid van Duisburg;Antoni van Maurik & Geertruid van Duisburg;Boeteman;Amsterdam;Amsterdam;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen;1;Geertruid van;Duisburg;Antoni van;Maurik;Boeteman;;False;False;False;False;False;True;0;0
172;KB;1693.0;Pieter van Beek;Klemencia Vollenhove;Pieter van Beek & Klemencia Vollenhove;Boeteman;Amsterdam;Wesel;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen;1;Klemencia;Vollenhove;Pieter van;Beek;Boeteman;;False;False;False;False;False;True;0;0
175;KB;1693.0;Izaak van Beuningen;Maria Ehmens;Izaak van Beuningen & Maria Ehmens;Boeteman;Amsterdam;Amsterdam;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen;1;Maria;Ehmens;Izaak van;Beuningen;Boeteman;;False;False;False;False;False;True;0;0
181;KB;1693.0;Izaak Daams;Alida Roermond;Izaak Daams & Alida Roermond;Boeteman;Amsterdam;;Anthony Jansen;I.U.;;;;;;;;;;;;;;;;;;;;;Anthony Jansen, I.U.;2;Alida;Roermond;Izaak;Daams;Boeteman;;False;False;False;False;False;True;0;0
184;KB;1693.0;Jan Dop;Maria Bording;Jan Dop & Maria Bording;Boeteman;Amsterdam;Amsterdam;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen;1;Maria;Bording;Jan;Dop;Boeteman;;False;False;False;False;False;True;0;0
197;KB;1693.0;Geerling Kops;Sara Teyler;Geerling Kops & Sara Teyler;Boeteman;Amsterdam;Middelburg;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen;1;Sara;Teyler;Geerling;Kops;Boeteman;;False;False;False;False;False;True;0;0
230;KB;1693.0;Dirk Willink;Christina Kramer;Dirk Willink & Christina Kramer;Boeteman;Amsterdam;Rotterdam;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen;1;Christina;Kramer;Dirk;Willink;Boeteman;;False;False;False;False;False;True;0;0
238;KB;1693.0;Abraham Inses;Willemyna Stok;Abraham Inses & Willemyna Stok;Boeteman;Amsterdam;Amsterdam;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen;1;Willemyna;Stok;Abraham;Inses;Boeteman;;False;False;False;False;False;True;0;0
1674;KB;1693.0;Dirk Rutgers;Catharina de Neufville;Dirk Rutgers & Catharina de Neufville;Jan Rieuwertsz;Amsterdam;;Anthony Jansen;Florentius Croon;Gerrit Fortgens;;;;;;;;;;;;;;;;;;;;Anthony Jansen, Florentius Croon, Gerrit Fortgens;3;Catharina de;Neufville;Dirk;Rutgers;Jan;Rieuwertsz;False;False;False;False;False;False;0;0
2141;KB;1693.0;Kornelis van Builard;Maria van Blenkvlied;Kornelis van Builard & Maria van Blenkvlied;;;Amsterdam;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen;1;Maria van;Blenkvlied;Kornelis van;Builard;;;False;False;False;False;True;True;0;0
176;KB;1694.0;Abraham Blaaupot;Elisabeth Bruin;Abraham Blaaupot & Elisabeth Bruin;Boeteman;Amsterdam;Dordrecht;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen;1;Elisabeth;Bruin;Abraham;Blaaupot;Boeteman;;False;False;False;False;False;True;0;0
232;KB;1694.0;Joan van Woensel;Margareta Noortdyk;Joan van Woensel & Margareta Noortdyk;Boeteman;Amsterdam;Dordrecht;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen;1;Margareta;Noortdyk;Joan van;Woensel;Boeteman;;False;False;False;False;False;True;0;0
2143;KB;1694.0;Kornelis Willemse;Maria Jans;Kornelis Willemse & Maria Jans;;;Den Haag;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen;1;Maria;Jans;Kornelis;Willemse;;;True;False;False;False;True;True;1;0
82;KB;1695.0;Abraham van Limburg;Margareta Blaaupot;Abraham van Limburg & Margareta Blaaupot;Boeteman;Amsterdam;Amsterdam;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen;1;Margareta;Blaaupot;Abraham van;Limburg;Boeteman;;False;False;False;False;False;True;0;0
170;KB;1695.0;Jacob van Beek;Gouda van Gent;Jacob van Beek & Gouda van Gent;Boeteman;Amsterdam;;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen;1;Gouda van;Gent;Jacob van;Beek;Boeteman;;False;False;False;False;False;True;0;0
180;KB;1695.0;Sieuwert Centen;Johanna Bruyn;Sieuwert Centen & Johanna Bruyn;Boeteman;Amsterdam;;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen;1;Johanna;Bruyn;Sieuwert;Centen;Boeteman;;False;False;False;False;False;True;0;0
