id;label;function;year;place_print
374;Michiel Slagregen & Maria Crajesteyn;Bruidspaar;1713.0;
375;A. Benoorden;Auteur;;
376;Jacob Murison & Elizabeth Hoffham;Bruidspaar;1713.0;
377;Abraham West;Auteur;;
378;De Deksel;Auteur;;
379;Jacob (Jr) Raket;Auteur;;
380;Leonard Lups & Cornelia Rutgers;Bruidspaar;1713.0;
381;J.D.;Auteur;;
382;Hendrik Kops & Magdalena Teyler;Bruidspaar;1713.0;
383;J. van Wassen;Auteur;;
384;H.V.B.;Auteur;;
385;Abraham Wynands & Cornelia Vincent;Bruidspaar;1713.0;
386;Jan Corver & Sara Maria Trip;Bruidspaar;1713.0;
387;Gerard onder de Linden;Drukker;;Amsterdam
388;Geeraert Kasparsz Brandt & Kornelia van Rixtel;Bruidspaar;1713.0;
389;Hendrik Verryn & Geertruid van Wieringen;Bruidspaar;1713.0;
390;Wilhelmus Lomannus;Auteur;;
391;Paulus Hendriksz Verryn;Auteur;;
392;Willem Cramer & Maria Vermeulen;Bruidspaar;1713.0;
393;Hendrik Hagen & Anna van Anklam;Bruidspaar;1713.0;
394;Adriaan onder de Linden & Antonia Verhoeff;Bruidspaar;1713.0;
395;Tielman van Bracht;Auteur;;
396;Arnold Hoogvliet;Auteur;;
397;Adriaan van Malsen & Hillegonda van Heyningen;Bruidspaar;1713.0;
398;A. Claver;Auteur;;
399;Cornelis van Tongerlo & Johanna Vermeersch;Bruidspaar;1713.0;
400;W.F.H. v. A.;Auteur;;
401;Roeland van Leuven;Auteur;;
402;Jan van Lankom & Christina Benthem;Bruidspaar;1714.0;
403;Abraham van Lankom;Auteur;;
404;Hendrik ten Kate & Christina ten Kate;Bruidspaar;1714.0;
405;Daniel de Vos;Auteur;;
406;Gerrit Schoemaker & Margareta Esser;Bruidspaar;1714.0;
407;Pieter Hoogenbergh;Auteur;;
408;Egbert Thesingh & Eletta van de Ryp;Bruidspaar;1714.0;
409;Pieter van Poot & Cornelia Vry;Bruidspaar;1714.0;
410;Abraham van Limburg;Auteur;;
411;Isaac Thomasz Delcourt;Auteur;;
412;Hendrik van Poot;Auteur;;
413;Jacob de Haan & Anna van Gelder;Bruidspaar;1714.0;
414;Wessel Kluppel;Auteur;;
415;Johannes Nagel & Agneta Elisabeth Veltkamp;Bruidspaar;1714.0;
416;A. Tros;Auteur;;
417;Pieter Straat;Auteur;;
418;P.H.B.H.;Auteur;;
419;Frans van Steenwyk & Judith ten Kate;Bruidspaar;1714.0;
420;P. van Dam;Auteur;;
421;Mozes van Hulkenroy;Auteur;;
422;Aäron van Hulkenroy;Auteur;;
423;Pieter Lups & Margareta Kops;Bruidspaar;1714.0;
424;Izaak van der Vinne;Auteur, Drukker;;
425;C.B.;Auteur;;
426;Michiel Bruynvis & Anna Bruynvis;Bruidspaar;1714.0;
427;Ysbrand Ysbrandsz Vincent;Auteur;;
428;Bartholomeus Bruynvis;Auteur;;
429;Paulus Snellen & Margareta Geertruda van Beeck;Bruidspaar;1714.0;
430;Andries Oortman & Catharina Linnich van Koppenol;Bruidspaar;1714.0;
431;Gerrit Muntendam;Drukker;;Utrecht
432;Henrik van der Marck;Auteur;;
433;Willem Koolenkamp;Auteur;;
434;Dionys Oortman;Auteur;;
435;Cornelis Vestenburgh & Agatha Ida Vederman;Bruidspaar;1714.0;
436;Jan van Ruster;Auteur;;
437;Jan van Wieringen & Amarante Meermans;Bruidspaar;1714.0;
438;Jan Wandelaar & Elisabeth Smit;Bruidspaar;1714.0;
439;François Jansz van Hoogstraten;Auteur;;
440;Gerardus Kempher;Auteur;;
441;Jan Wenkink & Maria Steenweg;Bruidspaar;1714.0;
442;Pieter van Bodegem & Catharina Huyssen;Bruidspaar;1714.0;
443;Theodoor van Snakenburg;Auteur;;
444;Wessel van Balen & Maria Scholten;Bruidspaar;1715.0;
445;Filips Piek;Auteur;;
446;Abraham de West;Auteur;;
447;B.S.;Auteur;;
448;de J.E.L.;Auteur;;
449;Juriaan Willink & Elizabet van Tongerlo;Bruidspaar;1715.0;
450;H. van Lochem;Auteur;;
451;Roeland van Leuve;Auteur;;
452;Cornelis van Leuve;Auteur;;
453;Dirk de Back & Jakoba van Kouwenhoven;Bruidspaar;1715.0;
454;Nicolaas Bos;Drukker;;Rotterdam
455;Cornelius van Arckel;Auteur;;
456;J. de Back;Auteur;;
457;Abraham van Wylik & Ursula Roeters;Bruidspaar;1715.0;
458;H. van Streek;Auteur;;
459;Willem Spiering;Auteur;;
460;Albert van Heyningen & Sara ten Kate;Bruidspaar;1715.0;
461;Abraham Fortgens;Auteur;;
462;P.H.;Auteur;;
463;Sander Stevensz van Leuvenig & Debora Bleeker;Bruidspaar;1715.0;
464;Leendert van Velsen;Auteur;;
465;Daniel de Stoppelaar & Maria van Buylaard;Bruidspaar;1715.0;
466;Jacob van Speek & Catharina Engels;Bruidspaar;1715.0;
467;Anthony Rygerbos & Anna Ardinoys;Bruidspaar;1715.0;
468;Pieter de Leeuw & Anna van Wyk;Bruidspaar;1715.0;
469;Jacob van Veen;Auteur;;
470;J.A.;Auteur;;
471;Dirk de Raad & Anna Hulshout;Bruidspaar;1715.0;
472;Willem van Stryen & Clara Maria Slicher;Bruidspaar;1715.0;
473;Jan Hendriksz Verryn & Maria van Ryk;Bruidspaar;1715.0;
474;Barent Kok;Auteur;;
475;Cornelis George Roeters & Sara Roeters;Bruidspaar;1716.0;
476;Dirk van (Jr) Lennep & Catharina de Neufville;Bruidspaar;1716.0;
477;Abraham Lapro & Josina van Karnebeek;Bruidspaar;1716.0;
478;Egbert van Karnebeek;Auteur;;
479;Filips George Piek;Auteur;;
