0;Datum;Jaar;Bruidegom;Bruid;Drukker;Plaats;Auteur1;Auteur2;Auteur3;Auteur4;Auteur5;Auteur6;Auteur7;Auteur8;Auteur9;Auteur10;Auteur11;Auteur12;Auteur13;Auteur14;Auteur15;Auteur16;Auteur17;Auteur18;Auteur19;Auteur20;Auteur21;Auteur22
138;1692-12-09;1692;Huibert van Speek;Elizabet Vollenhove;Boeteman;Amsterdam;J. Carel ;A.V.H.;;;;;;;;;;;;;;;;;;;;
140;1696-09-00;1696;Hendrik Boel;Cornelia de Geus;Boeteman;Haarlem;Tobias Boel ;Anthony Jansen ;J.S.;;;;;;;;;;;;;;;;;;;
141;1700-12-28;1700;Theodorus Bruynenburg;Anna Maria van Hanenburg;Willem Doornick;Amsterdam;L. Kramp ;J. Noelmans ;H. Pelkoor ;J. Deutz ;Jan Wenkink ;Frans Ryk ;;;;;;;;;;;;;;;;
142;1720-08-25;1720;Jan van Kesteren;Lucresia Rosdorp;Harder van (wed) Ditmer;Amsterdam;Anthony van der Voort ;Arnoldus Noordbeek ;;;;;;;;;;;;;;;;;;;;
143;1721-04-11;1721;Petrus van Heimenberg;Margareta Brandenburg;Casparus (wed) Cotius;;Casparus Henricus van Heimenberg ;;;;;;;;;;;;;;;;;;;;;
144;1727-03-09;1727;Jacob Kuyper;Hester Roelina Nieuwenhuis;Hendrik Bosch;;W. de Koker ;G. ten Naarden ;;;;;;;;;;;;;;;;;;;;
145;1681-10-14;1681;Josias Ingelbrechts;Maria Reyniers;Herman Aeltsz;Amsterdam;Bernard Vollenhove ;;;;;;;;;;;;;;;;;;;;;
146;1682-04-07;1682;Joan Marissal;Anna Herseleyn;Aris Akersloot;Den Haag;;;;;;;;;;;;;;;;;;;;;;
149;1722-02-22;1722;Roelof Robyn;Maria van der Linden;Niklaas Dor;Amsterdam;Swerus Robyn ;Adriaan de Kramer ;Harmanus Meyer ;Ph Swaan ;Abraham Titsingh ;;;;;;;;;;;;;;;;;
150;1724-05-28;1724;Nicolaas Fremyn;Angenieta Dykman;Pieter van den II Berge;Amsterdam;Nicolaas Davidsz Vermey ;Hendrik Dykman ;Louis Vermey ;Magnus Dykman ;;;;;;;;;;;;;;;;;;
151;1724-07-30;1724;Pieter Cleevering van Vyve;Margareta de Mourheron;Niklaas Dor;Utrecht;N. Cleevering van Vyve ;B. van Vyve ;Jan Mol ;;;;;;;;;;;;;;;;;;;
