id;label;function;year;place
3384;Gerardus Groen & Maria Walton;Bruidspaar;1732;
3385;Arnoldus Lobedanius;Auteur, Drukker;;
3386;Thomas Walton;Auteur;;
3387;John Forbes;Auteur;;
3388;Lodewyk Bruyning & Catharina Donius;Bruidspaar;1732;
3389;Cornelis (Jr) Camphuisen;Auteur;;
3390;Jacob Johan Severyn & Levina Bruyn;Bruidspaar;1735;
3391;Ysbrant George Bruyn;Auteur;;
3392;Arnoldus P.M. Lobedanius;Auteur;;
3393;Michiel van Leeuwen;Auteur;;
3394;Dirk Georgesz Bruyn;Auteur;;
3395;Nicolaas Lobedanius;Drukker;;
3396;Antony Klok & Elizabeth Zorg;Bruidspaar;1721;
3397;Nicolaas (wed) Lobedanius;Drukker;;
3398;Abraham A.B.A. Bógaert;Auteur;;
3399;Pieter Coene & Petronella Ouzeel;Bruidspaar;1672;
3400;Felix Lopez de Haro;Drukker;;Amsterdam
3401;Jeremias Ghys & Katharina Verhagen;Bruidspaar;1686;
3402;Abraham Hellenbroek;Auteur;;
3403;Fredrik Wilkens & Katharina Schalbruch;Bruidspaar;1718;
3404;Justus van Lotten;Drukker;;Amsterdam
3405;Joan Jacob Mauricius;Auteur;;
3406;Johannes Esgers;Auteur;;
3407;Jan van der Pals & Alida van Ede;Bruidspaar;1748;
3408;Koenraat Lubeek;Drukker;;Amsterdam
3409;Roeland Cornelis van Overvelt;Auteur;;
3410;Roeland Cornelis van Overvelt & Diverina Maria van der Houwe;Bruidspaar;1748;
3411;Cornelia Margaretha van Overvelt;Auteur;;
3412;George Constantyn van Overvelt;Auteur;;
3413;Willem Frederik ter Horst;Auteur;;
3414;Johan van Sypesteyn;Auteur;;
3415;Johannes Schrader & Alida Beata Schrader;Bruidspaar;1746;
3416;Johannes Luzac;Drukker;;Haarlem
3417;Johan Ortt & Adriana Huydecoper;Bruidspaar;1749;
3418;Nicolaas Lydelof;Drukker;;Amsterdam
3419;Isaak Du Sart & Anna Brugman;Bruidspaar;1681;
3420;Joan Couck & Maria Provoost;Bruidspaar;1682;
3421;Jacob ten Grootenhuis & Elisabeth de Dieu;Bruidspaar;1685;
3422;Joan Huydecoper & Maria Temminck;Bruidspaar;1686;
3423;Jacob Burich & Maria de Neut;Bruidspaar;1630;
3424;Georgius van Ingen & Oetilia Martens;Bruidspaar;1633;
3425;Hendrick Kersteman & Elysabeth Ongenae;Bruidspaar;1632;
3426;Joris Abrahamsz van der Marsce;Drukker;;Amsterdam
3427;Franchois de Maarschalk & Cornelia Gael;Bruidspaar;1651;
3428;Cornelis Voet & Johanna van Aalst;Bruidspaar;1722;
3429;Johannes Marshoorn;Auteur, Drukker;;
3430;Jacobus de Beer & Anna Elisabeth Cors;Bruidspaar;1738;
3431;Gustavus Martini;Drukker;;Amsterdam
3432;Abraham Ampe & Levina Bon;Bruidspaar;1642;
3433;Paulus Matthijsz;Drukker;;
3434;Lambertus Moors & Helena Boset;Bruidspaar;1647;
3435;Johannes Bevers;Auteur;;
3436;Hendrick Vinck & Catharina Polsters;Bruidspaar;1648;
3437;Simon Simonides & Cornelia Comenick;Bruidspaar;1650;
3438;Anthoni Hoevenaer & Catharina van Os;Bruidspaar;1665;
3439;Robertus Keuchenius;Auteur;;
3440;Joan Leonardsz Blasius;Auteur;;
3441;Franco Snellinx;Auteur;;
3442;Willem Thierens & Alida Scholten;Bruidspaar;1676;
3443;Cornelia van der Veer;Auteur;;
3444;Mattheus Abrugge;Auteur;;
3445;Pieter van Westreenen & Geertruyd Leegkerk;Bruidspaar;1688;
3446;Paulus (erven) Matthijsz;Drukker;;Amsterdam
3447;M. van Westreenen;Auteur;;
3448;Pieter Royaart & Katharina Harmens van Ringelenberch;Bruidspaar;1647;
3449;Severyn Matthysz;Drukker;;Amsterdam
3450;Claes van Toll;Auteur;;
3451;Johannes Cone & Elisabet de Corne;Bruidspaar;1664;
3452;Johannes van Brakel & Geertruyd van Eessink;Bruidspaar;1676;
3453;Pieter van der Meersche;Drukker;;Amsterdam
3454;Cornelia van Brakel;Auteur;;
3455;D. van Rijk;Auteur;;
3456;Philippus van Byeveld & Catharina van der Meulen;Bruidspaar;1683;
3457;Rutgert Elsma;Auteur;;
3458;J. van der Meulen;Auteur;;
3459;P. van Hoorn;Auteur;;
3460;Jonas Hoop & Elizabeth Blank;Bruidspaar;1750;
3461;Christiaan Menssendyk;Drukker;;Middelburg
3462;Thomas Maiden & Geertruydt Cooren;Bruidspaar;1669;
3463;Pieter Joosten Messchaert;Drukker;;Amsterdam
3464;Gerardus Halma;Auteur;;
3465;Henrick Beeckman & Elizabeth Koekebaker;Bruidspaar;1674;
3466;Antonius Henrix;Auteur;;
3467;Jacobus Veenendaal & Gesina Engelbregt;Bruidspaar;;
3468;Frederik van (wed) Metelen;Drukker;;
3469;Jan Paeuw & Alida Kruyt;Bruidspaar;1724;
3470;Jacobus Meul;Drukker;;
3471;Gerard Le Maire;Auteur;;
3472;J. van Echt;Auteur;;
3473;M. Langevelt;Auteur;;
3474;L. Paeuw;Auteur;;
3475;Franc van der Burch & Anna Maria van der Goes;Bruidspaar;1759;
3476;Johann Wilhelm Meyer;Drukker;;
3477;Petrus van Ysselstein;Auteur;;
3478;Isaac Minuict & Adriana Chevalier;Bruidspaar;1748;
3479;Hendrik Woutersz Kerfbyl;Auteur;;
3480;Harmanus Asschenbergh & Gozewina Mulders;Bruidspaar;1749;
3481;Aart Asschenbergh;Auteur;;
3482;Josias Raket & Katarina van Beeck;Bruidspaar;1700;
3483;Thomas Mijls;Drukker;;Amsterdam
3484;Dirk Jansz Bremer;Auteur;;
3485;Pieter Raket;Auteur;;
3486;Matthys Claver & Maria Jacoba Bakkers;Bruidspaar;1701;
3487;Michael Eversdyk & Margareta de Neve;Bruidspaar;1667;
3488;Johan Misson;Drukker;;
3489;Jacobus Verbergh;Auteur;;
3490;Daniel Eversdyk;Auteur;;
3491;Johannes Webber & Elizabeth de Wey;Bruidspaar;1683;
3492;Christiaen Moelé;Drukker;;Amsterdam
3493;Elias Webber;Auteur;;
3494;Johan Brandt & Petronella Oortmans;Bruidspaar;1686;
3495;J. Witte;Auteur;;
3496;Isaac van Waesberge & Dina van den Bossche;Bruidspaar;1628;
3497;Harman Huyghensz Moininckx;Drukker;;Kampen
3498;Zacharias van den Bossche;Auteur;;
3499;Hans George van Auerswalt & Clara Maria van Oudenstein;Bruidspaar;1716;
3500;Nikolaas Mol;Drukker;;Wesel
3501;Wilhelm Byll;Auteur;;
3502;Theodorus Saskerus;Auteur;;
3503;Nicolaas Philip van der Ghiessen;Auteur;;
3504;Nicolaas Vryburgh;Auteur;;
3505;J.U.S.;Auteur;;
3506;Franciscus Witsen & Esther Cuperus;Bruidspaar;1715;
3507;Daniel Baert & Cornelia Brandt;Bruidspaar;1718;
3508;Pieter Pietermaat & Elizabeth Pond;Bruidspaar;1720;
3509;Joan Alberti & Katharina Lusia van Ravesteyn;Bruidspaar;1721;
3510;Everardina Jakoba de With;Auteur;;
3511;Jan Huibert Jungius;Auteur;;
3512;Wilhelmus La Bordus;Auteur;;
3513;Jacob de Jonge & Elizabeth Snoek;Bruidspaar;1722;
3514;Leonardus Dinant & Helena Heyns;Bruidspaar;1725;
3515;Hendrik van Monnem;Drukker;;Amsterdam
3516;M. Heyns;Auteur;;
3517;Theodorus Johannes Coesvelt & Susanna de Penyn;Bruidspaar;1638;
3518;Jacobus Montanus;Drukker;;
3519;P.C. W.T. Coesvelt;Auteur;;
3520;Peeter Ludhens & Anna Rodenburg;Bruidspaar;1615;
3521;Porcevant Morgan;Drukker;;Amsterdam
3522;Peeter Ludhens & Anna Roodenburg;Bruidspaar;1615;
3523;Pieter van den Broeck & Grietken Jansd;Bruidspaar;1615;
3524;Joannes van der Sterre & Maria Snellinck;Bruidspaar;1616;
3525;Cornelis Faber & Niesje Claessen;Bruidspaar;1617;
3526;Porcevant (wed) Morgan;Drukker;;Amsterdam
3527;Lucas Marinus & Hermina van Leeuwen;Bruidspaar;1742;
3528;Bernardus Mourik;Auteur, Drukker;;Amsterdam
3529;Jan Ruysch & Catharina Vosmeer;Bruidspaar;1758;
3530;Susanna Ruysch;Auteur;;
3531;Paulus (Jr) Wenkink;Auteur;;
3532;Jacob van Hoorn & Jakoba van Selstede;Bruidspaar;1734;
3533;Johannes Evers Vierevant & Clasina Winterswyk;Bruidspaar;1741;
3534;Bernardus Evers Mourik;Auteur;;
3535;Evert Jan Vierevant;Auteur;;
3536;Pieter Ophoven & Johanna van der Hoogh;Bruidspaar;;
3537;Cornelis van Ophoven;Auteur;;
3538;Maria van Ophoven;Auteur;;
3539;Johannes Ameldung;Auteur;;
3540;Schalkius van der Hoogh & Maria Walvis;Bruidspaar;1738;
3541;Carolus Ursinus & Clara Bontius;Bruidspaar;1658;
3542;Franciscus Moyaerd;Drukker;;
3543;Franciscus Ridderus;Auteur;;
3544;Petrus Angillius;Auteur;;
3545;Mosis Ouzeel & Weyna de Reus;Bruidspaar;1660;
3546;Willem Hendrik Dierquens & Jacoba Amarantha de Salis;Bruidspaar;1746;
3547;Johann Michael Munck;Drukker;;
3548;J. de Roos;Auteur;;
3549;Johan Martyn & Elizabeth Roosekrans;Bruidspaar;1721;
3550;Anzelmus Muntendam;Drukker;;Utrecht
3551;Lambertus Juliaans & Margareta van Breda;Bruidspaar;1750;
3552;Kornelis van Bosvelt;Auteur;;
3553;H. Baek;Auteur;;
3554;Philip Meinertzhagen;Auteur;;
3555;Jan van Royen & Anna Catharina de Moor;Bruidspaar;1699;
3556;Gerrit Muntendam;Drukker;;Leiden
3557;Willem Koolenkamp;Auteur;;
3558;Jacob Verbeek & Beatrix van Hees;Bruidspaar;1705;
3559;Tymen van Rooyen & Elisabeth Keppel;Bruidspaar;1711;
3560;Gerrit (wed) Muntendam;Drukker;;Amsterdam
3561;Diderik de Leeuw & Sara Hinlopen;Bruidspaar;1711;
3562;Gualterus de Roy;Auteur;;
3563;Petrus Vuyst & Barbara Wilhelma Gerlings;Bruidspaar;1714;
3564;Andries Oortman & Catharina Linnich van Koppenol;Bruidspaar;1714;
3565;Gerard Aarnoud Hasselaer & Elisabeth Clignet;Bruidspaar;1728;
3566;Willem Verbeek & Johanna Clazina Hofkens;Bruidspaar;1731;
3567;Jacobus van Lanckom;Auteur;;
3568;Dirk Sautyn;Auteur;;
3569;Gerrit Muller & Margaretha Huytingh;Bruidspaar;1735;
3570;Anthony Christiaan Muller;Auteur;;
3571;Jakob den Dubbelden & Wilhelmina Nobels;Bruidspaar;1664;
3572;Isaac Naeranus;Drukker;;Leiden
3573;Gerard Seele & Maria Roos;Bruidspaar;1680;
3574;A. Schot;Auteur;;
3575;D. Schot;Auteur;;
3576;Johan Pesser & Geertruid Nienhoven;Bruidspaar;1670;
3577;Joannes J.D.R. Naeranus;Auteur;;
3578;Johan Schodt & Katarina van Jennema;Bruidspaar;1679;
3579;Eelcke Symons Nauta;Drukker;;Wesel
3580;Adriaan Josef Trip (1687-1748) & Johanna Bondina Gales;Bruidspaar;1714;
3581;Hero Nauta;Drukker;;Abcoude
3582;Johannes Bouricius;Auteur;;
3583;Hendrik de Wys & Tetje van den Burgstee;Bruidspaar;1702;
3584;Niklaas Neus;Drukker;;Haarlem
3585;Jakobus van Lintz & Anna de Regt;Bruidspaar;1687;
3586;Johannes Bremer & Remberta Zittard;Bruidspaar;1688;
3587;Carel Niellius;Drukker;;
3588;David de Haan & Hester van den Brie;Bruidspaar;1755;
3589;Jan Nieuwenhuyzen;Drukker;;Amsterdam
3590;A. Loosveld;Auteur;;
3591;Georgius Sonhoven & Adriana Reine;Bruidspaar;1695;
3592;Jacobus van Nieuweveen;Drukker;;
3593;Johannes Molinaeus (Jr);Auteur;;
3594;Gerardus Biermans & Joanna van Vrede;Bruidspaar;1695;
3595;Adriaan Spinniker & Sara Verduyn;Bruidspaar;1699;
3596;Jan Daniel Scheidius & Sara Margaretha Calkoen;Bruidspaar;1741;
3597;Cornelis Nieuwoudt;Auteur, Drukker;;Amsterdam
3598;Joannes Radaeus & Adriana Rolle;Bruidspaar;1661;
3599;Jacobus Noenaert;Drukker;;Leeuwarden
3600;S.S.M.C. D.R.;Auteur;;
3601;Johannes Waterham & Elizabeth Geniets;Bruidspaar;1749;
3602;Gerrit Noordbeek;Drukker;;Amsterdam
3603;M.E. Waterham;Auteur;;
3604;Wynandus Winterswyk & Barbara Sophia Knock;Bruidspaar;1750;
3605;R.J. Noordbeek;Drukker;;Amsterdam
3606;François J.R. Bekius;Auteur;;
3607;Hendrik Gerrit de Valk;Auteur;;
3608;Samuel Koenraat de Bruine & Cornelia van Nuwenhoff;Bruidspaar;1743;
3609;Cornelis Lankhorst & Joanna Maria van Harlingen;Bruidspaar;1755;
3610;P. van Hees;Auteur;;
3611;Simon Banheining & Alida Hartsen;Bruidspaar;1685;
3612;Abraham Olofsz;Drukker;;
3613;Dominicus van Vianen & Elizabeth van Kapell;Bruidspaar;1719;
3614;Joannes Ooms;Drukker;;
3615;Jan Jacob de Haan;Auteur;;
3616;Aart Dircksz (wed) Oossaan;Drukker;;
3617;Jacob van Bleiswyk & Maria van Herings;Bruidspaar;1667;
3618;Pieter Oosterhout;Drukker;;Amsterdam
3619;Nicolaas Hoppenaar & Debora Vestenburgh;Bruidspaar;1725;
3620;Cornelis Vestenburgh;Auteur;;
3621;Jan van Ruster;Auteur;;
3622;Willem Blaauw & Johanna Schoemaker;Bruidspaar;1726;
3623;Daniel Des Ruelles & Margareta Johanna Vederman;Bruidspaar;1728;
3624;Gerbrand Vederman;Auteur;;
3625;C. Vederman;Auteur;;
3626;Claas Cornelisz Calff & Aafje Pieters;Bruidspaar;1702;
3627;Jacob Dankers & Maria Kennemer;Bruidspaar;1703;
3628;Lodewyk de Veer & Hester van Halmael;Bruidspaar;1703;
3629;David Amoury & Maria de Flines;Bruidspaar;1705;
3630;Cornelis Sweerts;Auteur, Drukker;;
3631;Mattheus Molshoek Bakker & Anna Bicker;Bruidspaar;1705;
3632;Anthony Paauw & Willemina Arnold;Bruidspaar;1708;
3633;Hercules van Hoornbeek;Auteur;;
3634;David van Halmael & Maria Bosch;Bruidspaar;1709;
3635;Jacob Sintefoi & Geertruid van Middelandt;Bruidspaar;1711;
3636;Cornelis Vestenburgh & Agatha Ida Vederman;Bruidspaar;1714;
3637;Jacob van Speek & Catharina Engels;Bruidspaar;1715;
3638;Anthony Rygerbos & Anna Ardinoys;Bruidspaar;1715;
3639;Pieter de Leeuw & Anna van Wyk;Bruidspaar;1715;
3640;Pieter J.A. Vlaming;Auteur;;
3641;Isaac Rauws & Catharina Cornelia Temminck;Bruidspaar;1716;
3642;Adriaan de Wacker;Auteur;;
3643;Jan Stevensz Wolters & Anna Maria van der Does;Bruidspaar;1717;
3644;Willem van Boneval & Cornelia Overbeek;Bruidspaar;1718;
3645;Tiberius Beeldsnyder Matroos & Alida Margareta Meyn;Bruidspaar;1718;
3646;J. Verhoek;Auteur;;
3647;Michiel Bruiningh & Geertruida van Byland;Bruidspaar;1718;
3648;Nicolaas Calff & Grietje Louwen;Bruidspaar;1718;
3649;Cornelis Lely;Auteur;;
3650;Hendrik Hazebroek & Ida Kornelia Marcus;Bruidspaar;1719;
3651;W. Marcus;Auteur;;
3652;J.Jz Marcus;Auteur;;
3653;François de Bruinne;Auteur;;
3654;François Bruiningh & Kornelia van Tongeren;Bruidspaar;1719;
3655;Joan van Tongeren;Auteur;;
3656;A. Bruiningh;Auteur;;
3657;Abraham de Neufville & Sara Blaaupot;Bruidspaar;1720;
3658;Pieter Maiden & Elizabeth Seevenhuisen;Bruidspaar;1720;
3659;Eduard van Nikkelen & Cornelia van Groeningen;Bruidspaar;1720;
3660;D. van Nikkelen;Auteur;;
3661;R. van Wiert;Auteur;;
3662;Gerardus van Wiert;Auteur;;
3663;J. Daams;Auteur;;
3664;Huybert van Dam & Magtilda van der Keere;Bruidspaar;1720;
3665;Hendrik Hermansz & Maria Katharina Beck;Bruidspaar;1720;
3666;F. Beck;Auteur;;
3667;Adriaan Drabbe;Auteur;;
3668;Hendrik Voorn & Christina Nunninck;Bruidspaar;1720;
3669;J.H.G. B.M.;Auteur;;
3670;Vincent P.H. Brouwer;Auteur;;
3671;C. Lohoff;Auteur;;
3672;Abraham Des Amorie & Angelica Hugaert;Bruidspaar;1721;
3673;Herman van Broyel & Anna Aletta Beck;Bruidspaar;1721;
3674;Abraham van Broyel;Auteur;;
3675;Jacobus (Jr) Barnaart & Maria Suzanna Witkops;Bruidspaar;1721;
3676;François Vasmer & Geertruy van Drielst;Bruidspaar;1721;
3677;Fs van Zoelen;Auteur;;
3678;Thomas Babeling & Anna Louisa de Villers;Bruidspaar;1721;
3679;Gijsbert van der J.D.M. Goot;Auteur;;
3680;C.V.H.G.;Auteur;;
3681;Elias van Valencyn & Leonora Elisabeth Beck;Bruidspaar;1721;
3682;Joannes A.V.B. Oosterwyk;Auteur;;
3683;C.N. van Valencyn;Auteur;;
3684;Johannes Thesingh & Anna Thesingh;Bruidspaar;1722;
3685;Isaac Abrahamsz Delcourt & Elizabeth de Wolff;Bruidspaar;1722;
3686;Joannes J.D.C.F. Sluyter;Auteur;;
3687;Job Siewertsz Centen & Maria van Laar;Bruidspaar;1722;
3688;A.B.A.;Auteur;;
3689;Gijsbert van der Goot;Auteur;;
3690;C.D.M.;Auteur;;
3691;Jacob Alewyn (Jr) Ghysen & Debora Blaaupot;Bruidspaar;1722;
3692;Pieter Elias & Maria Philippina van Tongeren;Bruidspaar;1722;
3693;Jan. van Vliet;Auteur;;
3694;Cornelis Elbersz van Liesveld & Johanna van Dorssen;Bruidspaar;1722;
3695;Robert Hennebo;Auteur;;
3696;Cornelis Vestenburgh & Margareta Hinke;Bruidspaar;1723;
3697;Arnoldus Hinke;Auteur;;
3698;Pieter Hinke;Auteur;;
3699;Abraham van Ruster;Auteur;;
3700;Jan Smedingh & Seytje van Horsten;Bruidspaar;1723;
3701;Claas J.V. Bruin;Auteur;;
3702;Isaak de Neufville & Petronella de Neufville;Bruidspaar;1723;
3703;Abraham Preyger & Catharina Elisabeth Jacobsen;Bruidspaar;1723;
3704;Abraham Straalman & Elizabeth Rutgers;Bruidspaar;1723;
3705;Gerrit van Ruster & Anna Maria van Wind;Bruidspaar;1723;
3706;Jean de La Haye & Louïse Marissal;Bruidspaar;1724;
3707;Joannes D.C. Oosterwyk;Auteur;;
3708;Abraham Scherenberg & Johanna Dorothea d' Orville;Bruidspaar;1724;
3709;Cornelis Jacob Ploos van Amstel;Auteur;;
3710;B. Cornelisz Ploos van Amstel;Auteur;;
3711;Jan Abrahamsz de Haan & Catharina de Haan;Bruidspaar;1724;
3712;A.V.G.;Auteur;;
3713;Gijsbert Terwen Tysens;Auteur;;
3714;Johan Carstensz & Maria de Wilde;Bruidspaar;1724;
3715;Sergius Bicker Swellengrebel;Auteur;;
3716;Jacob Raye;Auteur;;
3717;J.S. Donker;Auteur;;
3718;Jan van den Bergh & Wyntje Daam;Bruidspaar;1725;
3719;Claas J.M. Bruin;Auteur;;
3720;Gerrit van der Veer;Auteur;;
3721;Jan Boonen & Catharina Schutte;Bruidspaar;1725;
3722;Pieter Broes;Auteur;;
3723;N.V.L.;Auteur;;
3724;Gerrit Bruin;Auteur;;
3725;Jan van Bremen & Anna Moubach;Bruidspaar;1725;
3726;Abraham Moubach;Auteur;;
3727;Pieter de Nes & Josina Centen;Bruidspaar;1725;
3728;Claas L.C. Bruin;Auteur;;
3729;Hendrik (Jr) Graauwhart & Anna Catharina Meysenheym;Bruidspaar;1726;
3730;Hendrik (Jr) Meysenheym;Auteur;;
3731;J.F.L.;Auteur;;
3732;Mathys Romswinckel & Constantia Elout;Bruidspaar;1727;
3733;Joannes G.V.L. Oosterwyk;Auteur;;
3734;Isaak Muyssart & Clara Hillegonda van Collen;Bruidspaar;1727;
3735;Claas Kruydenier;Auteur;;
3736;Nicolaas Jongsma & Anna Bonnama;Bruidspaar;1728;
3737;Ferdinand van Collen (1708-1789) & Juliana Helena Muyssart;Bruidspaar;1728;
3738;Gerrit W.K.L.T. Braamcamp;Auteur;;
3739;Pieter van Nieuwersluys & Ursula Terwen;Bruidspaar;1729;
3740;Jan T.S. Terwen;Auteur;;
3741;Gerard Vygh & Margareta Kops;Bruidspaar;1729;
3742;Egbert de Vry Temminck & Margareta Temminck;Bruidspaar;1729;
3743;François Brouwerius & Maria Halma;Bruidspaar;1729;
3744;Volkert van Koopstadt & Katharina Pott;Bruidspaar;1729;
3745;Stephanus Spiering & Maria Kox;Bruidspaar;1729;
3746;Govert W.S.V.W. Klinkhamer;Auteur;;
3747;Iperus Ameland & Helena van der Linde;Bruidspaar;1729;
3748;R. van der Linde;Auteur;;
3749;N. van Schooten;Auteur;;
3750;Aernoud Revius & Sibilla Clasina Oosterwyk;Bruidspaar;1730;
3751;Gijsbert L.P. Tysens;Auteur;;
3752;Abraham van Ruster & Catharina van den Bergh;Bruidspaar;1730;
3753;Hendrina Hartwyk;Auteur;;
3754;Jurian Hartwyk;Auteur;;
3755;Jacob Kinkeed & Agneta Cobbe;Bruidspaar;1732;
3756;Petrus Cobbe;Auteur;;
3757;H. Wesselink;Auteur;;
3758;Jacobus de Vos & Katharina van de Ryp;Bruidspaar;1723;
3759;Joannes Kroon & Ermina Geubels;Bruidspaar;1708;
3760;Joannes J.V. Oosterwyk;Auteur;;
3761;Anthony Deutz & Ida Agata Temminck;Bruidspaar;1713;
3762;Hendrik van Halmael & Catrina van Boorn;Bruidspaar;1720;
3763;Willem Jacobusz Kops & Maria Lintworm;Bruidspaar;1721;
3764;Joannes J.V.P. Oosterwyk;Auteur;;
3765;Jacob George Roeters & Adriana van Buylaard;Bruidspaar;1721;
3766;Jacob van Liesveld & Wynanda Hagen;Bruidspaar;1722;
3767;Willem Feitama & Margareta de Haan;Bruidspaar;1723;
3768;Jan Spiering;Auteur;;
3769;Marten Schrick & Catharina van Hemert;Bruidspaar;1723;
3770;Jan Hagen & Seytje Dorlant;Bruidspaar;1723;
3771;David Leeuw van Lennep & Hester Barnaart;Bruidspaar;1723;
3772;Jan (Jr) Brandt & Maria Lups;Bruidspaar;1725;
3773;Jacob Brandt;Auteur;;
3774;Jean Lanting;Auteur;;
3775;Willem Butler;Auteur;;
3776;Willem van Dyk & Hendrina Brandt;Bruidspaar;1725;
3777;Juriaan van Dyk;Auteur;;
3778;Regnerus van Dyk;Auteur;;
3779;J.G. Stierlin;Auteur;;
3780;Frederik Verbrugge & Margareta Catharina Duyvensz;Bruidspaar;1726;
3781;Valerius Doitsma;Auteur;;
3782;Thaddaeus Hardeboll';Auteur;;
3783;Andries van Schaeck & Katharina Haak;Bruidspaar;1726;
3784;Pieter Kinkeed & Johanna Françoise Oosterwyk;Bruidspaar;1733;
3785;Jacob Meinertzhagen & Sara Le Brun;Bruidspaar;1724;
3786;Joannes Oosterwyk.;Auteur;;
3787;Jacobus Jacobi Meinertzhagen;Auteur;;
3788;Maria Ostens;Drukker;;Gouda
3789;Jan van Dilsen & Petronella Margaretha Vos;Bruidspaar;1749;
3790;Gijsbert Oudshoorn;Drukker;;Amsterdam
3791;Arnold Meinard Wolfsen & Elizabeth Elcoma;Bruidspaar;1727;
3792;Anthony Outgers;Auteur, Drukker;;Amsterdam
3793;Aernoud Revius;Auteur;;
3794;Ipeus Elcoma;Auteur;;
3795;A. Elcoma;Auteur;;
3796;Bernard van Balen;Auteur;;
3797;Jacob van Balen;Auteur;;
3798;Bernard Scholten;Auteur;;
3799;C.H.V.;Auteur;;
3800;F. à Meynsma;Auteur;;
3801;Ryklof Gerbrand van Goens & Dana Barbara Pottey;Bruidspaar;1753;
3802;Jan de II Paaynaar;Drukker;;Sloten
3803;P. Lambrechtsen;Auteur;;
3804;Izaäk Hurgronje & Johanna van Dishoeck;Bruidspaar;1752;
3805;Pieter de Paaynaar;Drukker;;Amsterdam
3806;Jacob Gargon;Auteur;;
3807;Petrus Nahuys & Sara Catharina van Hoeke;Bruidspaar;1719;
3808;Gijsbert van Paddenburg;Drukker;;Amsterdam
3809;Gerhard Nahuys;Auteur;;
3810;Frans Fransz Steetz & Sara Elizabeth Steetz;Bruidspaar;1739;
3811;Jurriaan van Paddenburg;Drukker;;Danzig/Gdansk
3812;Willem Vrenic & Barta Muijllemans;Bruidspaar;1630;
3813;Amelis Janssz van Paddenburgh;Drukker;;Amsterdam
3814;Jan van der Veen;Auteur;;
3815;Antonis Pelt & Maria van Honthorst;Bruidspaar;1635;
3816;Peter van Maren & Ida de Ryck;Bruidspaar;1646;
3817;Jacobus Liefting & Catharina Bevers;Bruidspaar;1649;
3818;J. Petri Kuppius;Auteur;;
3819;Gosuinus de Wit & Elizabeth de L'Homell;Bruidspaar;1650;
3820;Nicolaus van Royen & Geertruda van Hamel;Bruidspaar;1654;
3821;W. Vligerius;Auteur;;
3822;Lambertus Sanderus & Helena Teeckmannus;Bruidspaar;1656;
3823;Joachim van Gent & Susanna van Loon;Bruidspaar;1682;
3824;D. van Deyl;Auteur;;
3825;Dirck Pietersz Voskuyl & Aefgen Willems;Bruidspaar;1612;
3826;Jacob Jansz Paets;Auteur, Drukker;;Amsterdam
3827;Jan Jacobsz Paets;Drukker;;Amsterdam
3828;Dominicus Baudius;Auteur;;
3829;Willebrord Snellius & Maria de Langhe;Bruidspaar;1608;
3830;Bonaventura Vulcanius;Auteur;;
3831;Jacobus Lettingius;Auteur;;
3832;Jacob Alblas & Cornelia Pierlings;Bruidspaar;1610;
3833;Charles van Wijckhuys;Auteur;;
3834;Cornelius van Swanenburch & Cecilia van der Gracht;Bruidspaar;1627;
3835;Herman Gideon Clemens & Barbara Antonetta Rosina Tscharner;Bruidspaar;1742;
3836;Hendrik I Palier;Drukker;;Haarlem
3837;Johannes van den Oever;Auteur;;
3838;Johannes Fredericus Reitz;Auteur;;
3839;Abraham Jellico;Auteur;;
3840;J. van Ruelo;Auteur;;
3841;Tileman Roostermans & Catharina Brugmans;Bruidspaar;1631;
3842;Frans Pels;Drukker;;Amsterdam
3843;Jan Gisbertsen & Stijntjen Ares;Bruidspaar;1615;
3844;Antonius Roscius & Jannetjen Jansd;Bruidspaar;1615;
3845;François Hermans & Suzanna de Marees;Bruidspaar;1617;
3846;Jacobus Hooft & Margareta Du Quesnoy;Bruidspaar;1617;
3847;Wilhelm Fransz de Leeuw & Aeltjen Pieters Codde;Bruidspaar;1618;
3848;Jacob Jacobsz Hinlopen & Sara de Wael;Bruidspaar;1618;
3849;Jan Woutersz van der Mye & Machteltjen Pieters Spiegel;Bruidspaar;1618;
3850;Abraham Fortgens & Sara Apostool;Bruidspaar;1739;
3851;Martinus Petzold;Drukker;;Amsterdam
3852;Jacob Fortgens;Auteur;;
3853;Samuel Apostool;Auteur;;
3854;Willem Butler & Maria Leeser;Bruidspaar;1724;
3855;Jan Brandt (Jr);Auteur;;
3856;Jacob Leeser;Auteur;;
3857;H. Oortman;Auteur;;
3858;R. van Gelder;Auteur;;
3859;Peter Sombergh & Beerta Middelsten;Bruidspaar;1685;
3860;Carel Pieman;Drukker;;Amsterdam
3861;Bernardus Sombergh;Auteur;;
3862;Gillis Vermeersch & Maria Fontein;Bruidspaar;1680;
3863;Michiel (wed) Pietersz;Drukker;;Haarlem
3864;Gooitjen Stinstra & Anna Mouter;Bruidspaar;1758;
3865;Folkert van der Plaats;Drukker;;Amsterdam
3866;Heere Oosterbaan;Auteur;;
3867;Simon Stinstra;Auteur;;
3868;Ruard Scheltinga & Anna Nieuwenhuis;Bruidspaar;1728;
3869;Reiner Dirksz Fontein;Auteur;;
3870;Lieve Sieverdsz de Bruin & Alida Westerbaen;Bruidspaar;1744;
3871;Jodocus Potter;Auteur;;
